data;tone
благодарю за заказ  рада получению  но заказывала два разных коллагена  а пришли два одинаковых  печально ??… хотелось бы  чтобы точность заказа соблюдалась… благодарю ?? ;2
все подошло  отличное качество ;1
упаковано все хорошо  только транспортировочная коробка с угла была протерта  но товар пришёл целый  на первый взгляд выглядит все очень хорошо);2
быстро  удобно ;1
??;1
отличные стержни  не хуже родных от berlingo;1
пришёл с поломанным кулером;3
здорово  что так быстро и доступно по ценам  надеюсь  качество не подведёт ;1
штукенция огонь  реально убрала сос тарой любимой шапки все катыршки  скоро пройдусь по всем старым свитерам  не ожидала  думала очередной найсер дайсер);1
одной рукой забирал другой слезы счастья вытирал);1
я заказывала в банке 1кг ваниш  а привезли в пакете  уже не первый раз такое ;3
всё хорошо ;1
нахватает вывески на здании  где расположен парковаться;2
ведь любому человеку понятно  что этот тортик не может доехать целым в простом пакете  зачем тогда отправлять  зная  что покупатель получит раздавленную массу? чтобы испортить ему настроение?;3
спасибо  все получила в целости и сохранности ;1
хорошая футболка;1
в момент получения был введён код  ящик не открылся по техническим причинам  товар не получен  прошу незамедлительно решить мою проблему  ;3
и пакет и коробка порваны  товар куплен в подарок ребенку  очень грустно;3
как на картинке не пришло  меньше раза в 2;3
все супер  доставка  комплектация и работа прибора  даже приятным сюрпризом было наличие батарей 4 шт тошибо  спасибо продавцу и  у ;1
товар лежит просто в коробке и болтается  не упакован ни в какую пленку  в коробке было 3 заказа и самый тяжелый повредил упаковку другого товара  ;3
привезли вообще не то что заказывал от слова совсем  что за наглость потерянное время  а деньги будем возвращать;3
к сожалению  содержимое пузырьков разлилось в упаковку ;3
насадка пришла вовремя все соответствует фото по работе время покажет ;1
всё аху но  только так могу выразить ощущения ;1
заказывал 2 сигнализации  пришла только одна;3
отличный ssd я и не знал что компьютер может так быстро работать моментально загружается система и программы ;1
за последнее время не пришло ни одной целой коробки  на подарок не заказывайте ;2
постамат без приложения не открывается  вообще  с приложением через  раз  исправьте постамат ;3
как всегда всё хорошо ;1
просьба оперативно решить проблему с поставкой данного товара ;3
 прошу меня извинить  мы ошиблись при подсчете все верно  батареек ровно столько сколько заказывали  поторопились и не проверили внимательно   благарен за покупку  закажу еще  спасибо   ;1
не работает на  windows 11-64bin  ни одно устройство не определяется  ;2
заказ получен ;1
привезли не тот товар что заказывал ;3
туговатые  но тянутся прилично  на вид надёжные и конечно красивые  ;1
"ооочень вкусные ""печеньки""  в восторге как дети  так я?????? муж  любитель вредной еды (конфеточек  острого  жирного  колбасочек  пельменей и т д ) даже пробовать не хочет?? а мы-то и рады - конкурентов меньше??";1
здравствуйте прежде чем отправлять товар вы смотрите на фотографию товара;3
спасибо  ;1
отлично  хорошо упаковано  большой срок годности  ;1
товар соответствует описанию и был куплен за 143 руб  думаю что это нормальная цена   покупкой довольна мне нравится ?? удобная и в тоже время стильная (моё предпочтение на кухне - это минимализм);1
всё супер;1
спасибо  очень вкусно  купил ещё  ;1
"введя запрос ""huawei matepad t10s  чехол"" выбрал  этот товар   очевидно не заметил что это на matepad pro  но ранее выбирая  внимательно подобрал для своей модели  но всё равно ошибка допущена   чехол не подходит для планшета  расположенны не там кнопки   которые зажимает чехол  а также несколько милиметров щелочка ";2
очень много бумаги и картона на упаковку пачки таблеток ;3
поврежденная отвратительная упаковка   заказываю такие дорогие шампуни и кондиционеры для волос и получаю такую безобразную  упаковку ;3
классно  что есть он лайн магазин     по хорошим ценам и удобной доставкой  ;1
как не стыдно продавать просрочку   срок годности вышел 2 месяца назад   крайне расстроена и разочарована   столько раз заказывала -такого не было  ;3
отличный коврик  давно такой хотел;1
обычные тонкие майки  размер оказался меньше  ;2
всё отлично ;1
осень быстрая доставка  дороговато но товар хороший  меряет быстро  сделан хорошо не дешёвый пластик  а вполне крепкий   ;1
все отлично ;1
не было упаковки был завернут только в полиэтилен ;2
все норм  подключилась сразу;1
отврат  а не лампа  ей будто пользовалась очень длительное время;3
отлично ;1
хороший корм  но жрктся только вперемешку с влажкой;1
очень сегодня порадовала доставка   даже раньше назначенного времени  отлично  спасибо;1
всё отлично  как всегда  ;1
заказ получила уже на следующий день  очень быстро и удобно  единственный минус: доставщик засунул большую картонную коробку в маленькую  ячейку постамата  я минут 5 выковыривала свой заказ  вообще не поняла  как у человека получилось это сотворить);1
повесьте вывеску на вход с улицы  что там установлены постоматы + стрелочки\наклейки внутри здания  5 подъездов рядом  трудно понять в каком  тем более на цокольном этаже;2
не могу вернуть товар  самый недружелюбный интерфейс  заказы не привязаны к аккаунту  невозможно вложить фото и т д и т п легче плюнуть и не не заниматься возвратом и никогда больше не заказывать  и всем кому можно рассказать  потратил 3 часа  бесполезно  ;3
бокалы бомбические  они огромные  но так и надо было  упаковка идеально целая  верхняя коробка обмотана скотчем ?хрупкое?  оч боялась битого  но всё в лучшем виде ;1
нет нормальной вывески  дом длинный  прюонять где пунт сложно  все остальное отлично  ;2
оказалось все легко и просто)) заказала  оплатила и забрала ;1
заказ прибыл в назначенный день  в назначенное место  товар упакован  сроки в порядке  вес совпадает заявленному ;1
спасибо;1
изготовлен из силиконообразной резины  хорошо - можно посадить внатяг - чтоб не соскочила  плохо - если порвётся склеить не получится;1
привезли не ту батарею нужно как на сайте- круглую а привезли квадратную;3
 ;1
из пяти пачек печенья  три упаковки измяты и порваны  вид явно не товарный  при этом внешняя упаковка (коробка) в отличном состоянии  значит положили в коробку уже порванные и измятые пачки  возможно в этих  коробках печенье уже все превратилось в крошку   вопрос- почему товар отправлен в таком виде? мы так не договаривались  ;2
очень хорошая посуда кроме кастрюли есть ещё сковорода я довольна качеством ;1
заказ прошел гладко и быстро  в отличие от прошлого заказа;1
быстрая доставка и надёжная упаковка  так же бонусом положили шоколадку  рекомендую этого продавца  ;1
офигенно;1
товар отличный  пришёл вовремя и именно тот  что заказывал  ;1
всё супер ;1
не соответствует картинке в каталоге  очень  маленькая для ребёнка только  ;2
всё прошло удачно  товар вовремя доставили  и хорошо упаковали;1
удобная ножовка ;1
все работает как надо  ожидание от этой приставке полностью оправдались ;1
все четко  ;1
не стоит напоминать про то  что надо забрать заказ каждые 2часа  ;2
доставка опоздала на несколько часов ;2
не работают;3
все пришло вовремя   без повреждений   продавец добросовестный машинка понравилась  заряжается от сети  удобно пользоваться   спасибо ;1
работает;1
сам нож хорошо упакован держать удобно  острый  получила на следующий день  но это не проблема ;1
я воспользовалась этой услугой впервые  оцениваю из 10 на 10 ???? спасибо за оперативность ????;1
19 дней с москвы до нижнего новгорода  сами себе оценку оставьте  ;3
привезли не ту машину что заказывали  ужасно   ребенок расстроился  но уговорили оставить  продавец не ответственный ;3
доставка быстрая  кофе хороший   ;1
обе коробки помятые  одна коробка порвана  содержимое высыпалось  ужасное качество доставки  требую компенсацию стоимости заказа баллами  ;3
"настольные лампы отличного качества  заявленная длина шнура соответствует 1 6м  качество материалов хорошее  небольших габаритов  ""прищепка"" с мягкими вкладышами  чтобы не портить мебель  оба поворотных механизма  плотные и хорошо фиксируют выбранное положение  рекомендую ";1
забрал в указанный срок ;1
3 вида света;2
всё пришло в указанное время  один шампунь немного потёк   но это не критично  остальное всё целое спасибо;2
очень удобно  если не тяжёлый заказ забирать в прстомате по этому адресу ;2
доставка в назначенный день  всё устроило  спасибо  ;1
одна часть треснувшая  в целом товар как будто бы не новый  грязный и пыльный ;3
быстро и удобно ;1
супер  все понравилось;1
спасибо большое  все просто отлично  сплит нормальная тема  ;1
фигурка очень качественная и хорошая ) советую всем её приобрести);1
лак беру для работы  очень хорошо фиксирует  ;1
заказ пришёл быстро  все хорошо упаковано  первый раз заказывала таким образом  очень довольна ;1
досталено быстро  цена низкая по сранению с другими  плейсами;1
должны были придти 11 11 к 15:00  в итоге пришли за полчаса до закрытия  никто не предупредил  что «курьер задерживается»  пришлось самой обращаться в службу поддержки  ;2
запах очень нравится  не знаю  насколько он стойкий  буду заказывать другие ароматы  ;1
упаковка отвратительная   упаковывать компьютерную периферию (лазерную технику) в тонкую картонку это непрофессионально;3
лежанка очень хорошая  мягкая  красивая  для нашего песика мини чихуа хуа  прям в самый раз  доставка очень удобная  ;1
ок;1
шоколадные плитки внутри все переломаны;3
не сразу понятно(видно) какой именно номер заказа нужно назвать в аптеке  чтобы получить его  по номеру телефона не получилось его нет в информации о заказе ;3
отличный кофе ;1
спасибо ??;1
заказ положили в ячейку позже назначенного времени  пришлось лишний раз ездить к пвз;2
помята упаковка ;2
заказываю второй раз  все нравится и цена умеренная  советую попробовать исключительно эффективный освежитель  приятный и не навязчивый  правда не очень стойкий ;1
манжета пришла во время  подошла к тонометру  все хорошо;1
беру в данном магазине второй раз  очень довольна   пользуюсь этой сывороткой 3 года  это точно оригинал  запах  цвет  консистенция  штрихкод бьётся огромная благодарность продавцу за отличный продукт и быструю доставку  5 звёзд и моя рекомендация товару и магазину ;1
норм;1
всё  очень хорошо ;1
звезда не 60  а максимум 55 см  вранье в описании товара ;3
все отлично  ;1
качество норм светит хорошо  но одно но каждое нажатие клавиши включает по очереди новый режим так что переключатель не корпусе по сути не нужен немного напрягает  ;2
поставит на улице верная 131/28 регулярно не работает;3
всё понравилось  ;1
в заказе были гели для душа  упакованы в обычный большой пакет   гель был открыт и разлился по пакету ;3
получен во время  нет стола для распаковки ;3
пришло раньше расчётного времени  все отлично;1
отвратительно   задержали на 3 дня заказ  просто отвратительно  ни кому не посоветую этот магазин  такое впечатление что несли пешком  был бы минус в вашем опросе поставил бы -10 ;2
заказ получил в указанный срок  всё очень удобно ;1
заказала 2 кабеля: на 1м и на 2м  прислали 3 шт по 1м  и еще не той фирмы ;3
качественный товар  очень понравилось ;1
товар не укомплектован: аккумулятором и проводом usb для зарядки ;3
носик увлажнителя с царапинами   понятно что был в использовании  не работает антивирусная уф-лампа  ;3
привезли 1 упаковку колготок вместо 2 оплаченных;3
работает отлично  заявленное выдает ;1
чехол не от ксяоми редми ноут 6 про  обманули  прошу вернуть деньги;3
быстро  четко и оперативно  товар отлично упакован ;1
из двух шоколадок одна растерзана  упаковка порвана;3
на упаковке была не большая вмятина  но вроде как ничего критичного покупала на подарок  так что узнаю позже) но в целом сервис удобный и быстрый ) и приятные скидки ;2
отличные макароны  доставка понравилась ;1
спасибо  в этот раз все отлично ;1
"очень классные товары и всегда все в срок доставляют 		 ";1
четко   оперативно   удобно ;1
уже не в первый раз заказ привозят не в то время которое указано в доставке;3
повреждение краски на дне и по краям  ;1
все упаковки с зубной пастой были открыты и помяты ;3
кофе полнейшая гадость  запах ужасный при открытии упаковки  когда сварил в турке вкус как будто земли наелся  так же и в кофеварке   не советую к покупке  ;3
очень плохо работает тачпад в постамате  цифры нажимаются с очень большим усилием и не с первого раза ;3
привезли с опозданием  не понятный кривой моток непоймичего   просто чёрный моток типагерметика  без фирменной упаковки  этикеток  описания …   обещали что это фирменный abro герметик   такой же кривой моток в китае стоит 250р   я не хочу китай  а что получил не знаю     аферисты  ;3
постамат найти очень сложно  он стоит около туалетов  описание пути к нему вообще не информативное  упаковка кофе была проколота  часть кофе высыпалась в пакет  ;3
коробка вскрытая под пакетом упаковочным  но фольгированная пломба на месте ;2
на 30 процентов дешевле  очень порадовало ;1
все надёжно упакованно  особенно порадовало то  что стеклянная банка кофе тоже упакованна отдельно в защитную пленку с шариками  спасибо:);1
всё отлично  аккумуляторы хорошие ;1
товар доставлен в срок  всё целое  понравилось ;1
все нормально;1
очень удобно и приехало за 1 день;1
быстро получила свои макарошки по акции за 8 руб   хорошо упакованы  продукция понравилась  ;1
товар был немного мокрый ;2
пришел  но какой-то гнутый  не знаю работает ли  не проверял ;1
обе упаковки lays были порваны  содержимое высыпалось в герметичную упаковку  чипсы все превратились в крошку  деньги в мусорку  к упаковке газировки претензий нет ;3
сама коробка чайника была чём-то облита с одной стороны   не приятно  ;3
из 4 заказанных банок одна оказалась разбитой на мелкие кусочки  плохо упаковали товар ;3
купюроприемник не работал;3
спасибо ;1
пункт выдачи ( постамат) без опознавательных знаков  еле нашла  ;2
нарушены пломбы на товаре  есть брак на подводке;3
класс;1
спасибо большое  товар был доставлен вовремя  в отличном состоянии;1
внутри упаковки пакет с чипсами был открыт чипсы были рассыпаны пришлось их все выкинуть скорей всего на пакет поставили что то тяжелое;3
шоколад ?? очень вкусный   беру не в первый раз  ;1
шампунь и гель для душа пришли с приоткрытыми флакона и  часть вылилась в упаковку  ;3
как всегда быстро и вовремя  поразило наличие бумажной гарантии к товару во вложении ;1
отличное соотношение цены и качества ;1
товар хорошего качества  хорошо упаковано  всем советую ;1
спасибо за скорость доставки и за качество доставки;1
всё пришло вовремя   ;1
отличные шестигранники;1
нет одного болта крепления  и положили крепление для соединения проводов не 2а три  что и так в нутри места нет  ;3
super ;1
очень миленькая сумочка  мини-рюкзак   приятный на ощупь  всё работает   рекомендую  ;1
всё как всегда хорошо ;1
не берите некогда ;3
хорошие часики  всё работает  в том числе и интернет  и карту памяти вставил с музыкой своей и подключил блютуз наушники  великолепно звучит;1
это не кофе жокей  а подделка  женный и горький вкус  хотелось бы вернуть товар продавцу ;3
только на 1 час позже чем обозначено время прибытия заказа ;2
получил  спасибо большое продавецу  упаковка хорошая  изделия удобные для меня и экологически чистые материалы для природы ;1
отремонтировал светильник;2
всё отлично  ;1
товар супер  продавец молодец ??????;1
привезли вовремя но не то ;2
"товара нет  ячейка пустая  жаль нет отзыва ""товар не пришёл  но сообщение о доставке поступило"" водитель видимо решил  что посылка предназначена для него  очень огорчило  ждала этот заказ так как это был подарок  жду решения сервиса поддержки  ";3
заказывала для окрашенных волос бальзам 2е  положили 2с для жирных волос   никакой внимательности  ;3
всё норм;1
спасибо  все хорошо ;1
всё прошло отлично ;1
фильтры для пылесоса пришли без оригинальной коробки  что вызывает сомнения в их подлинности ;1
коробка вся измятая  но игрушка цела  необходимо купить пальчиковые батарейки   при нажатии кнопки на груди начинаются звуки  музыка  и галдит пока не выключить  кнопка сзади раскрывает крылья  большой базз  надеюсь  сыну понравится  ;3
товар просто раскрошился при распаковке;3
от моих котиков благодарность ;1
отличный корм  быстрая доставка  цена гораздо ниже чем в магазине  рекомендую;1
заказывала красный  привезли черный  черный могла бы купить дешевле даже в этом же магазине;3
чехол не одевается на телефон;3
хороший фильтр  демократическая цена ;1
я заказывал не стимулятор корнеобразования;3
масло турецкое  поставляется по импортузамещению  только проверить на подлинность проблема;2
всё хорошо упаковано ;1
привезли раньше назначенного времени  спасибо вам??;1
товар дошел в целости и сохранности прекрасно упакован быстрая доставка довольна одни благодарности ;1
отличный корм  очень быстрая доставка  рекомендую;1
глючит планшет на ячейках набирал код минут 30;1
получил посылку все супер зарядил на 2  хватило на 40 минут  качество очень хорошее звук чистый всем советую я доволен ;1
носки качественные  ;1
спасибо все получил   все хорошо ;1
добротные шерстяные носки  ;1
как не было вывески  так и нет  да ещё и полная темнота  а остальное всё доставили во время ????;2
не понравилось  что товары доставлены не вместе ;2
недовложение двух тюбиков пасты ;3
прекрасная цена;1
все отлично  полученно в срок  спасибо ;1
пункт выдачи найти нелегко;2
покупаю synta 6 не первый раз  под завинчивающейся крышкой обычно есть приклеенная крышка из фольги  ее не было  да и консистенция вызывает подозрения ;3
надо было поверить отзывам к самому товару претензий нет  а вот к доставке да  подарочная упаковка подразумевает  что её будут покупать на подарок  а товар приходит мятым и порваным  лучше надо упаковывать  не в пакет  а в коробку ;2
в место лапширезки пришлоа машинка для равиоли ;3
удобно  быстро  просто ;1
цены ниже интернет-магазинов  бесплатная и быстрая доставка  хорошая система оповещения через sms о прибытии товара в пункт выдачи ;1
просто супер  ;1
товар получали в пастоменте упакован в картонную коробку  все как описано и соответствует ожиданиям;1
контейнер для протезов  для лошади ;1
плохо ?? ;3
заказывал ремень 710 5м-15  доставили 750 5м-15;3
все хорошо ;1
отлично всё ;1
двухстороний скотч не держит   а так вроде хороший товар  ;2
хороший удобный режет ровно ;1
мне эти часы даже раньше пришли спасибо горомное;1
все здорово;1
нормально;1
коробка вся смятая;2
отлично  как всегда ;1
заказывала аэратор  пришли батарейки ;3
привезли товар не того цвета  ушлёпки;3
все отлично  утюг шикарный  надеюсь прослузит нам много лет;1
не ржавый не мятый ;2
все замечательно ;1
быстрая доставка  молодцы  спасибо за вашу работу ;1
всё отлично подошло  товар хорошего качества ;1
быстро и надёжно упаковано ;1
принято ;1
коробка была расплющена и от этого открылась;3
заказ пришёл на следующий день  все отлично запаковано;1
в первый раз заказала в  - е  мне очень понравилось  благодарю ;1
плохо работает;3
пункт выдачи три дня не работал  невозможно было получить товар  постоянное отсутствие связи  в третий раз даже с телефона не могли открыть ;3
оплата через сбп и быстрая доставка  легко и просто ;1
отличный магазин  всё в срок  вовремя  без проблем  есть возможность заплатить частями;1
отличная краска  на 4кв метра в 2 слоя хватило;1
отвратительное место  испортилось  забирайте оттуда постамат ;3
плохо работает табло кнопки надо  по несколько раз нажимать ;2
заказ пришел вовремя  ;1
очень качественное постельное белье  аналог икеи  ничем не отличается  рекомендую к покупке ;1
треснут флакон  мелочь  но немного не приятно  первый раз с таким столкнулся  ;2
очень долгая доставка;2
все отлично;1
все товары соответствуют ожиданиям  упаковка в порядке  но упаковка в пакете предпочтительней  ибо таскать домой воздух в картоне не очень удобно ;1
пришло целое ;1
качество на троечку ;2
получил 5 порций вместо заявленных 10 ;3
красивый аккуратный подсвечник ;1
все хорошо;1
спасибо  всё пришло вовремя  конфеты наисвежайшие  ;1
упаковка корма оказалась повреждена и заклеена скотчем   неприемлемлемое отношение к покупателям  ;2
продавец прислал не то;3
песок очень компактно упакован в пакет  дома конечно надо пересыпать в более удобную тару  3 кг  мелкая фракция  отличный песочек для хомки ;1
быстро оригинал ;1
всё супер  ;1
супер  пока нравится  впечатление положительное :);1
всё очень просто и удобно ;1
всё отлично  оперативно доставлено  упаковано хорошо  ;1
по акции должно было поступить 3 шт  а пришло только 2 шт  и один дэзодарант треснут   просьба вернуть деньги или довезти ещё 2 шт ;3
отлично чистит  рекомендую;1
отличный обдув;1
отлично подключается airpods ;1
упаковка порвана в комплекте не хватает шайбы;3
фонарик работает во всех положениях  единственное но заявленной в комплекте вечной спички нет  от слова совсем ;2
доставили только  один вместо двух оплаченных ;3
все отлично  в срок  товар в надлежащем виде  ??;1
еле нашел постамат ??;2
