data;problem
вы что специально прячите почтоматы и даёте ссылки на них не соответствующие действительности  ужасно ;Городская среда
постомат не доступен  магазин был закрыт  ;Городская среда
в описании пункта выдачи неплохо бы  пояснить  что цокольный этаж - это подвал )) ;Городская среда
магазин  в котором находится постамат открылся только в 10 50  хотя должен был работать с 10 00;Городская среда
"пункт выдачи даже близко не там  где написано  он расположен между ""кантатой"" и ""пиццей паоло""  а вовсе не в торговом зале около ""ароматного мира""  не вводите покупателей в заблуждение  выдавая заведомо ложную информацию о расположении пункта выдачи  очень разочарована";Городская среда
в описании не сказано  что в  н медики по 3 шт имеют одинаковую резьбу ;Городская среда
плохой пункт;Городская среда
в помещении  где находится постомат  очень жарко в такую погоду  градусов +35 в помещении  не кондиционируется  либо система не работает вовсе  если будут заказы с продуктами или товарами с температурными ограничениями  могут быть жалобы от покупателей  либо отказы  возьмите эту информацию себе на заметку  вдруг получится договорится с фикспраймом (магазин в этом помещении)  либо с собственником данных площадей устранить эту проблему  ;Городская среда
подпишите конкретно магазин фикс -прайс  чтобы не искать в фиесте;Городская среда
здравствуйте  не могла найти постмат  здание офисное  много разных магазинов  где именно он стоит не ясно было;Городская среда
к доставке и товару претензий нет  а вот навигация на постомат это нечто  фото якобы пункта постомата намеренно поставили с какого то другого района? чтобы интереснее было искать? ну спасибо  ;Городская среда
работает не с 9:00  а с 10:00;Городская среда
указан неверный адрес пункта выдачи  лютый бред  пришлось искать и тратить время ;Городская среда
в приложении указано время доставки до 14:00 привезли после 16:00;Городская среда
неправильно указан адрес постамата;Городская среда
магазин открывается в 09-00   а помещение где почтомат открывают в 10-00;Городская среда
постомат находился в помещении вейпшопа  с порога его не видно  никакой наклейки  что он здесь нет  в приложении тоже не указано  в каком заведении постомат находится ;Городская среда
"это самый ужасный постомат  который я видел мало того что никакой вывески нет  а фото ""как найти"" не соответствует действительности  так ещё постамат находится в магазине одежды  в дальнем углу за поворотом среди вещей (найти без продавца магазина почти нереально) ";Городская среда
фото нахождения постамата не соответствует действительности постамат находится не в мск кальянной  а в другом месте  пришлось заходить в разные двери и искать ;Городская среда
в первый день не работал постмат получил заказ на следующий день ;Городская среда
если бы можно было бы поставить - 100 постамат засунули в тамбур магазина дикси пишите  что график работы с 00:00 до 23:55 ?? только из-за этого я туда заказал  приехал  постоял у закрытой двери подсказка: магазин с 8:00 до 23:00 в остальное время закрыты  ;Городская среда
постамат находится у дальних касс алкогольного отдела  что совершенно не очевидно и не указано  хотел уйти  но случайно увидел его через окно и стал ходить кругами искать  я никогда не знал что там существуют кассы ;Городская среда
постомат неудобно расположен  стоит за замком  к которому имеет доступ владельцы магазина автомузыки  автомагазин пошел домой  дверь закрывается и постомат недоступен  вынесите постомат на общую площадь с магазином магнит ;Городская среда
сделайте более подробное описание маршрута к постомату по торговцу центру  для человека  который первый раз в него зашёл нифига не понимает  где искать ;Городская среда
постамат стоит в пивнухе  отношение хамское  коробку открыть негде и нечем  мусорки нет  персонал сразу говорит забирайте коробку с собой и уходите  они к нам никакого отношения не имеют  тут же подошёл какой то пьяный дядечка и начал что-то мне втирать  в общем туда я больше ничего заказывать не буду  или смените место постамата или проведите беседу с работниками  где арендуете место  наверняка какие то договорные отношения существуют  я прям расстроена  просто забрала заказ и нахамили и настроение испортили ;Городская среда
в помещение есть доступ не с 9 до 21  а с 10 до 23 ;Городская среда
в описании указано что это оригинальный фильтр  производитель хэндай  на самом деле это аналог фирмы nac  обман ;Городская среда
торговый центр работает с 10:00  время указано в  е с 09:00  при написании в поддержку  а  что не могу ждать час  мне было предложено подождать 1-2 дня для решения проблемы  в тоге постучал в дверь  мне открыли дверь сотрудники тц  дно  просто дно  где   - везде дно  заказывать не буду больше ничего  ;Городская среда
